source_target_gene,n_cells
PSMG3,129
PSMG4,31
PSTK,108
PTBP1,51
PTCD1,46
PTCD3,40
PTEN,70
PTGR2,35
PTK2,34
PTMA,64
PTPMT1,51
PTPN1,66
PTPN11,54
PTPN23,21
PUF60,78
PUM1,14
PWP1,24
PWP2,68
PXN,56
PYROXD1,59
PYURF,63
QARS,79
QRSL1,51
RAB4A,79
RAB4B,185
RAB6A,36
RAB18,26
RABGGTA,241
RABGGTB,83
RAC1,42
RAC3,92
RACGAP1,4
RACK1,15
RAD9A,46
RAD17,26
RAD21,24
RAD51,46
RAD51C,33
RAD51D,37
RAE1,45
RAMAC,39
RAN,66
RANBP2,30
RANGAP1,68
RARS,53
RARS2,85
RBBP4,41
RBBP5,57
RBBP6,22
RBBP8,43
RBM4,37
RBM8A,32
RBM10,171
RBM12,22
RBM14-RBM4,267
RBM15,75
RBM17,36
RBM19,41
RBM22,6
RBM25,32
RBM28,75
RBM33,50
RBM39,84
RBM42,64
RBM48,52
RBMX,13
RBMX2,114
RBMXL1,34
RBX1,55
RCC1,170
RCCD1,52
RCL1,109
RCOR1,23
RELL2,43
REV3L,38
REXO2,29
RFC1,26
RFC2,60
RFC3,62
RFC4,38
RFC5,50
RFFL,5
RFT1,28
RGP1,20
RGPD6,130
RHOQ,149
RHPN1,62
RINT1,40
RIOK1,56
RIOK2,27
RMI1,36
RNASEH2C,132
RNF4,18
RNF8,122
RNF14,65
RNF20,27
RNF31,76
RNF40,19
RNF103,36
RNF113A,36
RNF123,56
RNF168,12
RNGTT,51
RNMT,53
RNPC3,32
RNPS1,61
ROMO1,37
RPA1,38
RPA2,52
RPA3,86
RPAIN,35
RPAP1,53
RPAP2,55
RPAP3,51
RPE,25
RPF1,56
RPF2,6
RPIA,49
RPL3,33
RPL4,95
RPL5,52
RPL6,111
RPL7,122
RPL7A,5
RPL7L1,56
RPL8,73
RPL9,63
RPL10,71
RPL10A,116
RPL11,41
RPL12,103
RPL13,73
RPL13A,48
RPL14,60
RPL15,42
RPL17,77
RPL18,81
RPL18A,57
RPL19,25
RPL21,30
RPL23,142
RPL23A,70
RPL24,60
RPL26,86
RPL26L1,29
RPL27,5
RPL27A,50
RPL28,32
RPL29,46
RPL30,48
RPL31,54
RPL32,108
RPL34,47
RPL35,82
RPL35A,196
RPL36,89
RPL36A,68
RPL36AL,31
RPL37,55
RPL37A,76
RPL38,38
RPL39,32
RPL41,109
RPLP0,95
RPLP1,13
RPLP2,27
RPN1,15
RPN2,15
RPP14,73
RPP21,82
RPP30,85
RPP38,17
RPP40,37
RPRD1B,18
RPS2,92
RPS3,54
RPS3A,53
RPS4X,48
RPS5,17
RPS6,68
RPS7,71
RPS8,60
RPS9,72
RPS10,49
RPS10-NUDT3,70
RPS11,41
RPS12,44
RPS13,148
RPS14,76
RPS15,57
RPS15A,36
RPS16,15
RPS17,23
RPS18,45
RPS19,79
RPS19BP1,68
RPS20,59
RPS21,44
RPS23,22
RPS24,66
RPS25,31
RPS26,62
RPS27,91
RPS27A,116
RPS28,35
RPS29,99
RPSA,38
RPTOR,26
RPUSD3,76
RPUSD4,36
RRM1,12
RRM2,54
RRN3,77
RRP1,26
RRP7A,68
RRP9,84
RRP12,69
RRP15,44
RRS1,137
RSL1D1,166
RSL24D1,41
RSRC2,21
RTCB,35
RTEL1,263
RTF1,26
RTRAF,112
RTTN,35
RUVBL1,53
RUVBL2,33
S100A1,46
SACM1L,26
SAE1,56
SAMD4B,45
SAMM50,26
SAP18,38
SAP30BP,36
SAP130,29
SARNP,21
SARS,14
SARS2,36
