source_target_gene,n_cells
BORCS7,200
BORCS8,193
BPGM,95
BPHL,104
BPI,318
BPIFA1,556
BPIFA2,585
BPIFA3,96
BPIFB1,441
BPIFB2,37
BPIFB3,102
BPIFB4,383
BPIFB6,243
BPIFC,205
BPNT1,170
BPNT2,131
BPTF,208
BRAF,44
BRAP,143
BRAT1,188
BRCA1,83
BRCA2,368
BRCC3,385
BRD1,53
BRD2,238
BRD3,50
BRD4,246
BRD7,323
BRD8,94
BRD9,111
BRDT,155
BRF1,106
BRF2,343
BRI3,121
BRI3BP,179
BRICD5,265
BRINP1,150
BRINP2,269
BRINP3,449
BRIP1,337
BRIX1,53
BRK1,197
BRME1,294
BRMS1,235
BRMS1L,108
BRPF1,170
BRPF3,49
BRS3,576
BRSK1,126
BRSK2,577
BRWD1,176
BRWD3,290
BSCL2,507
BSDC1,92
BSG,191
BSN,100
BSND,168
BSPH1,494
BSPRY,162
BST1,47
BST2,628
BSX,398
BTAF1,236
BTBD1,262
BTBD10,262
BTBD16,260
BTBD17,229
BTBD18,517
BTBD19,204
BTBD2,161
BTBD3,144
BTBD6,117
BTBD7,454
BTBD8,638
BTBD9,78
BTC,297
BTD,257
BTF3,282
BTF3L4,306
BTG1,325
BTG2,149
BTG3,214
BTG4,341
BTK,269
BTLA,169
BTN1A1,251
BTN2A1,98
BTN2A2,364
BTN3A1,144
BTN3A2,190
BTN3A3,283
BTNL2,264
BTNL3,262
BTNL8,310
BTNL9,236
BTRC,41
BUB1,125
BUB1B,8
BUB3,99
BUD13,107
BUD23,27
BUD31,60
BVES,121
BYSL,124
BZW1,761
BZW2,126
C10orf105,109
C10orf120,91
C10orf53,141
C10orf55,90
C10orf62,171
C10orf67,253
C10orf71,116
C10orf88,126
C10orf90,402
C10orf95,211
C11orf16,480
C11orf21,396
C11orf24,66
C11orf40,331
C11orf42,292
C11orf52,507
C11orf54,261
C11orf58,258
C11orf65,275
C11orf68,214
C11orf71,113
C11orf86,196
C11orf87,128
C11orf91,134
C11orf96,198
C11orf98,532
C12orf4,134
C12orf40,602
C12orf42,211
C12orf43,228
C12orf50,235
C12orf54,164
C12orf56,166
C12orf57,308
C12orf60,69
