target_gene,H1,K562,RPE1,HepG2,Jurkat,A549,MCF7,HT29,HAP1,BxPC3,A172,T98G,U87MG,HCT116,HEK293T,KOLF2.1J,CD4T
ADD2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ADD3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ADGB,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADGRA1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADGRA2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADGRA3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ADGRB1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ADGRB2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ADGRB3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADGRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADGRD2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADGRE1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
